LADY MOVING;2.28981000;48.83920000;179 bis, RUE CROIX NIVERT;75056;Paris
NEONESS;2.29318400;48.84980400;18, RUE JUGE;75056;Paris
NEONESS;2.29318400;48.84980400;18, RUE JUGE;75056;Paris
VIT'HALLES - SPA DAUPHINE;2.27388000;48.86976000;3, BOULEVARD LANNE;75056;Paris
CLUB MONTMARTOIS 2;2.34119000;48.89230000;50, RUE DUHESME;75056;Paris
SALLE DE SPORT ASPTT;2.30253600;48.83810800;15, RUE BOURSEUL;75056;Paris
TRAINING - CLUB DE MISE EN FORME;2.30555000;48.84340000;76, RUE LECOURBE;75056;Paris
CENTRE DE JEUNESSE CHRETIENNE ET FAMILIALE;2.30778000;48.84240000;116, RUE DE LOURMEL;75056;Paris
INSTITUT SAINT JEAN DE DIEU;2.29364000;48.83920000;223, RUE LECOURBE;75056;Paris
CLUB DE LA NATION;2.39995000;48.84890000;5, RUE DE LAGNY;75056;Paris
CASERNE KELLERMANN;2.34848000;48.82068000;56, boulevard kellermann;75056;Paris
CERCLE DE LA FORME;2.36895000;48.86397000;11, RUE DE MALTE;75056;Paris
CERCLE DE LA FORME;2.36895000;48.86397000;11, RUE DE MALTE;75056;Paris
WAOU CLUB MED GYM BERCY;2.38750000;48.83313000;45, RUE DES PIROGUES DE BERCY;75056;Paris
INSEP;2.45223600;48.83252100;11, AVENUE DU TREMBLAY;75056;Paris
WAOU CLUB MED GYM BERCY;2.38750000;48.83313000;45, RUE DES PIROGUES DE BERCY;75056;Paris
ANTHONY'S STUDIO;2.40217000;48.83971000;16, RUE LOUIS BRAILLE;75056;Paris
INSEP;2.45223600;48.83252100;11, AVENUE DU TREMBLAY;75056;Paris
MINISTERE DE L'ECONOMIE ET DES FINANCES (CENTRE D'ACTIVITES SPORTIVES ET CULTURELLES );2.37727000;48.84125000;143, RUE DE BERCY;75056;Paris
MINISTERE DE L'ECONOMIE ET DES FINANCES (CENTRE D'ACTIVITES SPORTIVES ET CULTURELLES );2.37727000;48.84125000;143, RUE DE BERCY;75056;Paris
WAOU CLUB MED GYM AUTEUIL;2.25956000;48.84680000;11, RUE CHANEZ;75056;Paris
WAOU CLUB MED GYM AUTEUIL;2.25956000;48.84680000;11, RUE CHANEZ;75056;Paris
CERCLE DE LA FORME MAILLOT;2.29016000;48.88070000;20, RUE GUERSANT;75056;Paris
ENJOY BY FKC;2.38049000;48.89280000;36, RUE DE NANTES;75056;Paris
REM GYM;2.40344000;48.87730000;72, RUE DE ROMAINVILLE;75056;Paris
GYM STUDIO;2.39555000;48.87120000;9, RUE PIXERECOURT;75056;Paris
CLUB MED GYM MAILLOT;2.28545930;48.87796940;17, RUE DU DEBARCADERE;75056;Paris
FOREST HILL AQUABOULEVARD;2.27705000;48.83290000;4, RUE LOUIS ARMAND;75056;Paris
LADY FITNESS 15éme arrondissement;2.30497000;48.84140000;16, rue borromée;75056;Paris
FITNESS FIRST;2.27108000;48.85610000;58, RUE LA FONTAINE;75056;Paris
CLUB MED GYM MONCEAU;2.30589000;48.88070000;26, RUE CHAZELLES;75056;Paris
CLUB SPORTIF ET DES LOISIRS NOUVELLE France (CASERNE NOUVELLE France );2.34903000;48.87690000;82, RUE DU FAUBOURG POISSONNIERE;75056;Paris
CITE SCOLAIRE VOLTAIRE;2.38474000;48.86401000;101, AVENUE DE LA REPUBLIQUE;75056;Paris
AMBROISE PHYSIQUE;2.37499000;48.86044000;82, BOULEVARD VOLTAIRE;75056;Paris
CLUB MED GYM PALAIS ROYAL;2.33877000;48.86219000;147 bis, RUE SAINT HONORE;75056;Paris
UNIVERS GYM PARIS;2.33860000;48.86347000;20-22, RUE DES BONS ENFANTS;75056;Paris
ASSOCIATION SPORTIVE DE LA BANQUE DE FRANCE;2.33481000;48.86763000;4, RUE MARSOLLIER;75056;Paris
SUN CITY;2.35138000;48.86384000;62, BOULEVARD DE SEBASTOPOL;75056;Paris
SUN CITY;2.35138000;48.86384000;62, BOULEVARD DE SEBASTOPOL;75056;Paris
LYCEE HENRI IV;2.34817000;48.84602000;23, RUE CLOVIS;75056;Paris
AUTOMOBILE CLUB DE France (ACF);2.32140000;48.86715000;6, PLACE DE LA CONCORDE;75056;Paris
HOTEL PLAZA ATHENE;2.30405000;48.86595000;25, AVENUE DE MONTAIGNE;75056;Paris
CERCLE DE L'UNION INTERALLIEES;2.31967000;48.86900000;33, RUE DU FAUBOURG ST HONORE;75056;Paris
CLUB MED GYM CHAMPS ELYSEES;2.30609000;48.87342000;26, RUE DE BERRI;75056;Paris
CERCLE DE L'UNION INTERALLIEES;2.31967000;48.86900000;33, RUE DU FAUBOURG ST HONORE;75056;Paris
LES BAINS DE LEA;2.30384000;48.86938000;62, PIERRE CHARON;75056;Paris
ECOLE BERNARD PARISET;2.33939000;48.87771000;11, RUE DES MARTYRS;75056;Paris
SALLE SAINT LAZARE;2.32805000;48.87581000;94, RUE SAINT LAZARE;75056;Paris
SNCF;2.32807000;48.87727000;23, RUE DE LONDRES;75056;Paris
SALLE SAINT LAZARE;2.32805000;48.87581000;94, RUE SAINT LAZARE;75056;Paris
CLUB MED GYM VAUGIRARD;2.30678000;48.84110000;208, RUE VAUGIRARD;75056;Paris
CLUB MED GYM VAUGIRARD;2.30678000;48.84110000;208, RUE VAUGIRARD;75056;Paris
CENTRE DE JEUNESSE CHRETIENNE ET FAMILIALE;2.30778000;48.84240000;116, RUE DE LOURMEL;75056;Paris
Lagardere Paris Racing;2.25663000;48.86500000;1, CHEMIN DE LA CROIX CATELAN;75056;Paris
PLURIAL SPORT 1;2.32394000;48.88490000;6, RUE ABEL TRUCHET;75056;Paris
CERCLE DE LA FORME ORNANO;2.34651000;48.89650000;127, RUE DU MONT CENIS;75056;Paris
CLUB MONTMARTOIS 1;2.34749000;48.89200000;60, RUE ORDENER;75056;Paris
PARIS TONIC;2.34753000;48.88660000;45, RUE DE CLIGNANCOURT;75056;Paris
SUN CITY SPORT;2.32763000;48.89330000;90, AVENUE DE SAINT OUEN;75056;Paris
KARATE CLUB KYOKUSHINKAI;2.33678000;48.89200000;8, RUE ACHILLE MARTINET;75056;Paris
LYCEE PROFESSIONNEL ET TECHNOLOGIQUE SAINTE THERESE;2.27035000;48.85200000;40, RUE LA FONTAINE;75056;Paris
UNIVERSITE PARIS DAUPHINE;2.27419000;48.87090000;1, PLACE DU MARECHAL DE LATTRE DE TASSIGNY;75056;Paris
HOPITAL BROUSSAIS;2.31427000;48.82750000;96, RUE DIDOT;75056;Paris
CLUB MED GYM PALAIS ROYAL;2.33877000;48.86219000;147 bis, RUE SAINT HONORE;75056;Paris
ELEMENT PARIS 1ER;2.33699000;48.86580000;41, RUE DE RICHELIEU;75056;Paris
BNP PARIBAS;2.33196000;48.86824000;3, RUE LOUIS LE GRAND;75056;Paris
FITNESS CLUB BOURSE;2.34038000;48.86991000;24, RUE FEYDEAU;75056;Paris
L'USINE;2.33453000;48.86931000;8, rue de la Michodiere;75056;Paris
VIT'HALLES BEAUBOURG;2.35261000;48.86154000;48, RUE RAMBUTEAU;75056;Paris
ECOLE NORMALE SUPERIEURE (rue d'ulm);2.34535000;48.84172000;45, RUE D'ULM;75056;Paris
CLUB JEAN DE BEAUVAIS;2.34628000;48.84928000;5, RUE JEAN DE BEAUVAIS;75056;Paris
CLUB JEAN DE BEAUVAIS;2.34628000;48.84928000;5, RUE JEAN DE BEAUVAIS;75056;Paris
CENTRE D'ANIMATION CHÂTEAU LANDON;2.36396000;48.88327000;46, RUE DU CHÂTEAU LANDON;75056;Paris
CLUB LAFAYETTE;2.35239000;48.87713000;27, RUE DES PETITS HOTELS;75056;Paris
CLUB MED GYM PARIS 20EME;2.39914000;48.85740000;63, RUE DE BAGNOLET;75056;Paris
SALLE DE SPORT ASPTT;2.30253600;48.83810800;15, RUE BOURSEUL;75056;Paris
TRAINING - CLUB DE MISE EN FORME;2.30555000;48.84340000;76, RUE LECOURBE;75056;Paris
LE CLUB;2.28327000;48.85130000;61, QUAI DE GRENELLE;75056;Paris
SALLE SAINT LAZARE;2.32805000;48.87581000;94, RUE SAINT LAZARE;75056;Paris
SALLE SAINT LAZARE;2.32805000;48.87581000;94, RUE SAINT LAZARE;75056;Paris
CLUB MED GYM LAFAYETTE;2.34029000;48.87506000;10, RUE DE LA VICTOIRE;75056;Paris
SALLE SAINT LAZARE;2.32805000;48.87581000;94, RUE SAINT LAZARE;75056;Paris
SALLES DE SPORTS TOUR D'AUVERGNE;2.34412000;48.87926000;15 bis, RUE DE LA TOUR D'AUVERGNE;75056;Paris
HOPITAL SAINT LOUIS;2.36840000;48.87280000;1, AVENUE CLAUDE VELLEFAU;75056;Paris
ASSOCIATION KAJYN CLUB;2.38338000;48.85171000;13, RUE FAIDHERBE;75056;Paris
AMBROISE PHYSIQUE;2.37499000;48.86044000;82, BOULEVARD VOLTAIRE;75056;Paris
BODY GYM;2.37948000;48.85070000;157, RUE DU FAUBOURG SAINT ANTOINE;75056;Paris
HOTEL IBIS - CLUB AQUAVIVA;2.31627000;48.89200000;5, IMPASSE CHALABRE;75056;Paris
HOTEL IBIS - CLUB AQUAVIVA;2.31627000;48.89200000;5, IMPASSE CHALABRE;75056;Paris
CLUB MED GYM MONCEAU;2.30589000;48.88070000;26, RUE CHAZELLES;75056;Paris
ASSOCIATION SPORTIVE ET CULTURELLE DE L'ASSEMBLEE NATIONALE;2.31853000;48.86162000;126, RUE DE L'UNIVERSITE;75056;Paris
LYCEE DE LA ROCHEFOUCAULT;2.30515000;48.86019000;22, RUE MALAR;75056;Paris
AUTOMOBILE CLUB DE France (ACF);2.32140000;48.86715000;6, PLACE DE LA CONCORDE;75056;Paris
HOTEL LA TREMOILLE;2.30302000;48.86686000;14, RUE DE LA TREMOILLE;75056;Paris
SALLE DES SPORTS DU MINISTERE DE L'INTERIEUR;2.31776000;48.87133000;11, RUE DES SAUSSAIES;75056;Paris
LES BAINS DE LEA;2.30384000;48.86938000;62, PIERRE CHARON;75056;Paris
CITE INTERNATIONALE UNIVERSITAIRE DE PARIS;2.33806000;48.81928000;19, BOULEVARD JOURDAN;75056;Paris
CAISSE DES DEPOTS - USAC;2.32026000;48.84148000;4, PLACE RAOUL DAUTRY;75056;Paris
CLUB ENERGYM;2.32892000;48.83496000;6, RUE LALANDE;75056;Paris
VIT'HALLES RASPAIL;2.33023000;48.83958000;226, BOULEVARD RASPAIL;75056;Paris
GYMNASE HUYGHENS;2.32846000;48.84076000;10, RUE HUYGHENS;75056;Paris
CLUB MED DENFERT;2.33021000;48.83179000;22, AVENUE DU GENERAL LECLERC;75056;Paris
INSTITUT DU JUDO;2.31557000;48.82262000;21-25, AVENUE  DE LA PORTE DE CHÂTILLON;75056;Paris
CLUB MED DENFERT;2.33021000;48.83179000;22, AVENUE DU GENERAL LECLERC;75056;Paris
CLUB MED GYM MONTPARNASSE;2.32602000;48.84545000;149, RUE DE RENNES;75056;Paris
ELEMENT;2.33049000;48.84227000;16, RUE DE LA GRANDE CHAUMIERE;75056;Paris
HOTEL PLAZA ATHENE;2.30405000;48.86595000;25, AVENUE DE MONTAIGNE;75056;Paris
LES THERMES - hotel royal monceau;2.30022000;48.87590000;37, AVENUE HOCHE;75056;Paris
CLUB MED GYM CHAMPS ELYSEES;2.30609000;48.87342000;26, RUE DE BERRI;75056;Paris
CERCLE DE L'UNION INTERALLIEES;2.31967000;48.86900000;33, RUE DU FAUBOURG ST HONORE;75056;Paris
CERCLE DE L'UNION INTERALLIEES;2.31967000;48.86900000;33, RUE DU FAUBOURG ST HONORE;75056;Paris
ANTHONY'S STUDIO;2.40217000;48.83971000;16, RUE LOUIS BRAILLE;75056;Paris
CLUB MED GYM GRENELLE;2.29680000;48.84720000;8, RUE FREMICOURT;75056;Paris
FOREST HILL AQUABOULEVARD;2.27705000;48.83290000;4, RUE LOUIS ARMAND;75056;Paris
FITNESS FIRST;2.27108000;48.85610000;58, RUE LA FONTAINE;75056;Paris
CENTRE SPORTIF GEO ANDRE;2.25246000;48.83927000;2, RUE DU COMMANDANT GUILBAUD;75056;Paris
CERCLE DE LA FORME;2.36895000;48.86397000;11, RUE DE MALTE;75056;Paris
APSAP - VP;2.37950000;48.85633000;12, COUR DEBILLE;75056;Paris
CENTRE SPORTIF ANDRE CHANCE;2.37941000;48.85650000;1, COUR DEBILLE;75056;Paris
WAOU CLUB MED GYM BERCY;2.38750000;48.83313000;45, RUE DES PIROGUES DE BERCY;75056;Paris
CURVES 3;2.37368400;48.85020100;67, RUE DE CHARENTON;75056;Paris
UNION SPORTIVE MAISON BLANCHE;2.35147000;48.82511000;22, RUE CHARLES FOURIER;75056;Paris
CASERNE MASSENA;2.37551000;48.82277000;3, RUE DARMESTETER;75056;Paris
CASERNE KELLERMANN;2.34848000;48.82068000;56, boulevard kellermann;75056;Paris
CLUB MED GYM REPUBLIQUE;2.36512000;48.86740000;10, PLACE DE LA REPUBLIQUE;75056;Paris
CLUB MED GYM REPUBLIQUE;2.36512000;48.86740000;10, PLACE DE LA REPUBLIQUE;75056;Paris
"SALLE ASPTT PARIS CHAUDRON""""";2.36475000;48.88369000;22, RUE CHAUDRON;75056;Paris
HOPITAL SAINT LOUIS;2.36840000;48.87280000;1, AVENUE CLAUDE VELLEFAU;75056;Paris
AMBROISE PHYSIQUE;2.37499000;48.86044000;82, BOULEVARD VOLTAIRE;75056;Paris
